inscription_id,cisi,site,artefact_type,direction_raw,direction,reading_order_known,complete,stored_length,position,sign_code,is_missing
INDUS-4992,H-1198,Harappa,TAB:I,R/L,R/L,True,True,2,1,700,False
INDUS-4992,H-1198,Harappa,TAB:I,R/L,R/L,True,True,2,2,033,False
INDUS-4993,H-1203,Harappa,TAB:I,-,OTHER,False,,1,1,740,False
INDUS-4994,H-1204,Harappa,TAB:I,-,OTHER,False,,1,1,740,False
INDUS-4995,H-1275,Harappa,TAB:I,R/L,R/L,True,,2,1,740,False
INDUS-4995,H-1275,Harappa,TAB:I,R/L,R/L,True,,2,2,176,False
INDUS-4996,H-1275,Harappa,TAB:I,R/L,R/L,True,,2,1,700,False
INDUS-4996,H-1275,Harappa,TAB:I,R/L,R/L,True,,2,2,032,False
INDUS-4997,H-1261,Harappa,TAB:I,R/L,R/L,True,False,3,1,000,True
INDUS-4997,H-1261,Harappa,TAB:I,R/L,R/L,True,False,3,2,840,False
INDUS-4997,H-1261,Harappa,TAB:I,R/L,R/L,True,False,3,3,000,True
INDUS-4998,H-1261,Harappa,TAB:I,R/L,R/L,True,False,2,1,700,False
INDUS-4998,H-1261,Harappa,TAB:I,R/L,R/L,True,False,2,2,000,True
INDUS-4999,H-1262,Harappa,TAB:I,R/L,R/L,True,False,2,1,740,False
INDUS-4999,H-1262,Harappa,TAB:I,R/L,R/L,True,False,2,2,000,True
INDUS-5000,H-1262,Harappa,TAB:I,-,OTHER,False,False,1,1,000,True
INDUS-5001,H-1269,Harappa,TAB:I,R/L,R/L,True,False,2,1,000,True
INDUS-5001,H-1269,Harappa,TAB:I,R/L,R/L,True,False,2,2,000,True
INDUS-5002,H-1269,Harappa,TAB:I,R/L,R/L,True,,2,1,700,False
INDUS-5002,H-1269,Harappa,TAB:I,R/L,R/L,True,,2,2,032,False
INDUS-5003,H-1270,Harappa,TAB:I,R/L,R/L,True,False,2,1,368,False
INDUS-5003,H-1270,Harappa,TAB:I,R/L,R/L,True,False,2,2,000,True
INDUS-5004,H-1270,Harappa,TAB:I,R/L,R/L,True,True,2,1,700,False
INDUS-5004,H-1270,Harappa,TAB:I,R/L,R/L,True,True,2,2,033,False
INDUS-5005,H-1279,Harappa,TAB:I,R/L,R/L,True,,2,1,400,False
INDUS-5005,H-1279,Harappa,TAB:I,R/L,R/L,True,,2,2,740,False
INDUS-5006,H-1279,Harappa,TAB:I,-,OTHER,False,False,1,1,000,True
INDUS-5007,H-1281,Harappa,TAB:I,R/L,R/L,True,True,2,1,700,False
INDUS-5007,H-1281,Harappa,TAB:I,R/L,R/L,True,True,2,2,032,False
INDUS-5008,H-1281,Harappa,TAB:I,-,OTHER,False,False,1,1,000,True
INDUS-5009,H-1284,Harappa,TAB:I,L/R,L/R,True,True,3,1,520,False
INDUS-5009,H-1284,Harappa,TAB:I,L/R,L/R,True,True,3,2,220,False
INDUS-5009,H-1284,Harappa,TAB:I,L/R,L/R,True,True,3,3,415,False
INDUS-5010,H-1284,Harappa,TAB:I,L/R,L/R,True,True,2,1,700,False
INDUS-5010,H-1284,Harappa,TAB:I,L/R,L/R,True,True,2,2,034,False
INDUS-5011,H-1286,Harappa,TAB:I,R/L,R/L,True,False,2,1,400,False
INDUS-5011,H-1286,Harappa,TAB:I,R/L,R/L,True,False,2,2,000,True
INDUS-5012,H-1286,Harappa,TAB:I,-,OTHER,False,False,1,1,000,True
INDUS-5013,H-1291,Harappa,TAB:I,R/L,R/L,True,False,3,1,000,True
INDUS-5013,H-1291,Harappa,TAB:I,R/L,R/L,True,False,3,2,390,False
INDUS-5013,H-1291,Harappa,TAB:I,R/L,R/L,True,False,3,3,590,False
INDUS-5014,H-1291,Harappa,TAB:I,R/L,R/L,True,False,2,1,000,True
INDUS-5014,H-1291,Harappa,TAB:I,R/L,R/L,True,False,2,2,033,False
INDUS-5015,H-1320,Harappa,TAB:I,R/L,R/L,True,True,2,1,400,False
INDUS-5015,H-1320,Harappa,TAB:I,R/L,R/L,True,True,2,2,678,False
INDUS-5016,H-1320,Harappa,TAB:I,R/L,R/L,True,True,2,1,700,False
INDUS-5016,H-1320,Harappa,TAB:I,R/L,R/L,True,True,2,2,032,False
INDUS-5017,H-1302,Harappa,TAB:I,L/R,L/R,True,True,3,1,400,False
INDUS-5017,H-1302,Harappa,TAB:I,L/R,L/R,True,True,3,2,740,False
INDUS-5017,H-1302,Harappa,TAB:I,L/R,L/R,True,True,3,3,176,False
INDUS-5018,H-1302,Harappa,TAB:I,R/L,R/L,True,True,2,1,700,False
INDUS-5018,H-1302,Harappa,TAB:I,R/L,R/L,True,True,2,2,033,False
INDUS-5019,H-1295,Harappa,TAB:I,-,OTHER,False,False,3,1,000,True
INDUS-5019,H-1295,Harappa,TAB:I,-,OTHER,False,False,3,2,000,True
INDUS-5019,H-1295,Harappa,TAB:I,-,OTHER,False,False,3,3,000,True
INDUS-5020,H-1295,Harappa,TAB:I,R/L,R/L,True,True,2,1,700,False
INDUS-5020,H-1295,Harappa,TAB:I,R/L,R/L,True,True,2,2,033,False
INDUS-5021,H-1296,Harappa,TAB:I,-,OTHER,False,,1,1,034,False
INDUS-5022,H-1299,Harappa,TAB:I,-,OTHER,False,,1,1,740,False
INDUS-5023,H-1303,Harappa,TAB:I,L/R,L/R,True,True,3,1,400,False
INDUS-5023,H-1303,Harappa,TAB:I,L/R,L/R,True,True,3,2,740,False
INDUS-5023,H-1303,Harappa,TAB:I,L/R,L/R,True,True,3,3,176,False
INDUS-5024,H-1303,Harappa,TAB:I,R/L,R/L,True,True,2,1,700,False
INDUS-5024,H-1303,Harappa,TAB:I,R/L,R/L,True,True,2,2,033,False
INDUS-5025,H-1305,Harappa,TAB:I,R/L,R/L,True,False,3,1,400,False
INDUS-5025,H-1305,Harappa,TAB:I,R/L,R/L,True,False,3,2,000,True
INDUS-5025,H-1305,Harappa,TAB:I,R/L,R/L,True,False,3,3,705,False
INDUS-5026,H-1305,Harappa,TAB:I,R/L,R/L,True,False,2,1,000,True
INDUS-5026,H-1305,Harappa,TAB:I,R/L,R/L,True,False,2,2,000,True
INDUS-5027,H-1306,Harappa,TAB:I,R/L,R/L,True,,2,1,400,False
INDUS-5027,H-1306,Harappa,TAB:I,R/L,R/L,True,,2,2,740,False
