cisi,ext_id,motif,ext_direction,ext_line_count,ext_object_type,source
H-1422,S181,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1138,S198,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-423,S199,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-661,S205,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-294,S217,S590,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1177,S218,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1142,S220,Fish,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1326,S221,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1354,S222,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1312,S229,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1355,S232,Bult,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1047,S233,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1056,S237,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-73,S240,Bull1:I,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1045,S246,Bull1:U,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1513,S248,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1133,S249,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1319,S255,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1309,S257,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1121,S258,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1051,S259,Bull1:I,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1052,S261,Bull1,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1287,S264,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1273,S265,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1158,S266,Gavi,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1188,S268,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1102,S273,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1331,S281,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1330,S282,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1030,S284,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1402,S288,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1112,S290,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1032,S292,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1033,S293,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-161,S294,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1187,S295,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-874,S297,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1043,S303,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1080,S306,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-911,S310,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1192,S311,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1123,S313,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1517,S315,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1321,S317,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1028,S318,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1077,S319,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1027,S322,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2016,S370,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1771,S371,Goat:4,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1924,S373,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1881,S375,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1776,S378,Elep,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1996,S379,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1894,S382,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1773,S383,Goat:4,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1853,S386,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1874,S388,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2063,S390,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1858,S392,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1981,S393,Tri4,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1987,S394,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1877,S396,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2141,S397,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1772,S400,Goat:4,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2003,S401,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1920,S403,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2192,S405,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1895,S406,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-2213,S407,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1942,S409,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1897,S410,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1865,S411,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1915,S414,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1832,S415,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2035,S416,Gavi,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1957,S417,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2140,S418,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1898,S419,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2174,S420,Fish,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1943,S422,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1997,S423,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1845,S424,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2125,S425,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1714,S426,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1854,S427,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1673,S430,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1905,S433,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-2570,S434,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1912,S437,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1967,S448,Mult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1909,S453,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1778,S454,Gavi,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2076,S455,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1940,S458,Bult,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1991,S459,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1919,S461,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1827,S463,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-585,S464,Zebu,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1882,S466,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1825,S467,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-1876,S468,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2077,S469,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-2215,S470,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2084,S472,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2094,S476,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1669,S479,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1850,S480,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2148,S481,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2246,S484,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1953,S485,Zebu,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2097,S488,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2210,S489,Bult,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2184,S490,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-2127,S491,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-741,S494,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1836,S497,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1921,S498,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1862,S499,unknown,R-L,1,unknown,joyboseroy/indus_decipher:indus_website
H-2576,S501,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1664,S502,Bull1:W,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1932,S504,Gavi,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1867,S506,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1869,S508,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
H-1868,S509,unknown,L-R,1,unknown,joyboseroy/indus_decipher:indus_website
